Probe_ID	Gene_ID	Signal_P/2a-2_OKhymenets_220905	SDEV_P/2a-2_OKhymenets_220905	CV_P/2a-2_OKhymenets_220905	S_N_P/2a-2_OKhymenets_220905	Flags_P/2a-2_OKhymenets_220905	Assay_Normalized_Signal_P/2a-2_OKhymenets_220905	Row_P/2a-2_OKhymenets_220905	Column_P/2a-2_OKhymenets_220905	X_P/2a-2_OKhymenets_220905	Y_P/2a-2_OKhymenets_220905	CL_Sig_P/2a-2_OKhymenets_220905	CL_Sig_Error_P/2a-2_OKhymenets_220905	CL_Raw_P/2a-2_OKhymenets_220905	CL_Raw_SDEV_P/2a-2_OKhymenets_220905	Image_Area_P/2a-2_OKhymenets_220905
100002	hCG1643199.4	49787.61	606.4	0.06	82.1	0	89.72	189	77	1009.29	1112.13	48642.49	231.82	55379.2	0	2
100003	hCG2041918	114.87	114.87	0.94	-1.06	1	0.17	45	39	603.14	855.54	-236.58	108.83	5202.8	0	1
100027	hCG31426.2	117.5	117.5	1.57	-0.64	1	0.18	109	152	1806.26	1535.35	-119.06	106.99	5210.29	0	1
100036	hCG1979099.1	401.24	210.1	0.53	1.91	0	0.61	70	7	265	1123.77	425.08	109.52	5853.85	0	1
100037	hCG42687.4	13239.26	370.98	0.06	35.69	0	23.86	173	129	1559.87	941.05	9599.12	177.86	15731.3	0	2
100039	hCG2015782	3907.18	171.01	0.06	22.85	0	5.94	114	54	767.08	1590.54	2814.77	119.43	8574.65	0	1
100044	hCG36953.3	137.13	137.13	1.84	-0.54	1	0.21	68	51	732.91	1100.08	-156.22	121.06	6006.16	0	1
100045	hCG1776836.3	1486.25	258.27	0.18	5.75	64	2.68	153	123	1497.65	730.87	1719.27	166.44	7787.64	0	2
100051	hCG1642464.3	164.21	164.21	0.3	-3.42	131073	0.25	75	157	1859.5	1174.68	-502.43	108.74	4929.86	0	1
100052	hCG22993.3	186.62	186.62	1.69	0.59	1	0.34	146	139	1665.4	657.31	90.13	145.42	5401.68	0	2
100057	hCG1793655.1	1512.73	344.19	0.23	4.39	0	2.3	18	77	1009	568.23	1205.05	122.94	7352.56	0	1
100058	hCG33215.3	44928.84	748.8	0.06	60	0	80.97	137	26	465.39	557.85	44203.53	228.76	50996.1	0	2
100060	hCG22998.3	2564.56	181.89	0.09	14.1	0	4.62	217	90	1145.87	1409.53	1580.03	181.81	8276.09	0	2
100062	hCG2039675	1214.49	493.05	0.41	2.46	0	2.19	170	18	379	909.08	1277.36	168.44	7448.98	0	2
