Reporter Identifier	VALUE	S_N_P/2a-3_OKhymenets_220905
100002	111787.96	89.07
100003	138.5	-1.26
100027	202.72	2
100036	1331.05	3.68
100037	37304.25	34
100039	8804.24	29.62
100044	385.58	-1.27
100045	435.87	-0.84
100051	231.58	-0.49
100052	330.4	0.77
100057	3650.07	10.43
100058	94419.77	80.61
100060	1055.18	1.11
100062	2911.12	3.55
100064	1778.49	6.48
100079	15874.43	61.12
100089	4569.85	15.55
100093	887.45	6.44
100095	453.18	-0.78
100100	28363.08	87.95
100102	399.09	1.36
100103	341.41	1.99
100105	845.65	5.17
100111	213.23	-0.62
100117	435.38	-0.42
100120	55589.19	56.17
100130	53978.93	104.98
100137	470806.62	63
100145	1653.84	8.07
100146	9110.46	27.75
100151	691.27	-1.36
100159	1785.03	9.55
100160	803.75	5.9
100172	1539.16	4.92
100181	5231.57	25.95
100182	318.22	0.68
100184	10968.69	52.38
100195	19308.26	41.38
100214	2099.03	13.76
100215	4440.32	18.77
100216	319.31	0.04
100244	811.2	2.81
100249	218247.2	77.93
100259	2684.86	18.48
100260	413.02	0.28
100269	461.3	0.41
100277	447.69	2.42
100278	2063.99	12.56
100288	343.05	-0.19
100289	122.54	-3.43
100295	377.91	-0.01
100297	836.81	4.1
100302	1112.23	6.69
100309	508.84	2.82
100312	469.73	0.97
100313	28073.65	40.62
100328	1395.55	4.06
100336	291.15	0.78
100340	28030.31	29.81
100344	14724.88	16.27
100348	549284.66	83.6
100352	969.01	3.93
100356	18396.65	39.86
100357	2185.79	3.8
100365	1558.94	7.97
100369	373.39	0.63
100384	38683.91	112.5
100385	27770.45	62.12
100388	321.89	0.64
100390	389855.78	84.94
100398	986.4	6.35
100403	8968.5	50.55
100404	475.65	0.31
100405	3298.9	15.37
100410	7551.47	33.22
100415	894.71	2.4
100419	314.06	0.57
100423	72708.4	16.85
100426	188.96	0.9
100430	14732.89	28.76
100431	3265.08	7.34
100436	767.59	-0.36
100442	162387.76	60.1
100451	1165.04	6.43
100454	15965.26	53.27
100455	1226.08	2.56
100458	798.2	2.93
100460	41525.23	79.87
100472	1838.17	6.8
100473	613.74	2.23
100479	158.62	-0.17
100485	3583.38	9.72
100492	286.18	-1.32
100494	3014.36	6
100503	44372.11	75.48
100510	17511.73	17.46
100511	379.68	0.27
100513	1829.06	7.64
100524	10620.88	59
100525	212.4	0.18
100529	470.49	-0.45
100537	33985.77	90.13
100543	30911.83	50.47
100547	448.64	1.73
100552	101688.62	63.96
100557	734.2	-1.19
100558	204.34	-1.85
100566	234.83	1.1
100569	378.35	1.08
100570	3923.94	12.19
100572	217.73	0.31
100575	201.05	1.17
100583	236.59	0.32
100589	12063.2	31.58
100591	14729.24	18.67
100594	1630.97	0.52
100596	6859.43	25.51
100608	327.43	0.35
100611	239.61	-1.64
100627	399560.15	66.73
100628	90.48	-1.49
100629	85736.67	107.38
100635	4109.28	5.5
100636	74485.97	47.07
100639	5793.09	11.66
100641	70959.61	33.08
100642	760.43	2
100645	223.61	0.42
100646	231.49	0.09
100658	280.79	-0.55
100659	1132.78	7.08
100664	88998.57	63.94
100671	3723.75	12.28
100679	1499.94	3.02
100680	1409.82	9.43
100681	777.05	0.34
100687	1606.9	7.79
100689	4673.67	17.15
100691	6422.78	16.5
100694	2940.07	14.81
100702	443859.71	63.87
100709	8621.54	39.59
100710	73650.63	54.41
100717	799.05	0.02
100719	284.8	-0.13
100722	2068.83	5.38
100727	710.01	4.91
100736	314.86	1.09
100747	249.7	0.76
100748	2198.93	2.74
100757	11998.51	34.38
100762	1204.08	3.68
100765	11594.5	25.72
100771	2156385.97	63.28
100777	14409.39	55.49
100781	539.91	0.74
100787	1533.44	0.71
100788	2592.97	4.53
100794	243.43	1.08
100801	302.61	0.46
100812	2144.93	6.01
100814	809.81	3.61
100819	1270.38	5.73
100825	2695.79	10.02
100826	646607.63	103.61
100830	854.51	5.6
100837	308.98	0.5
100840	87849.25	72.16
100845	57414.88	99.4
100857	337.09	1.26
100869	176.72	-0.3
100876	202.3	-1.32
100883	175.73	1.16
100884	2288.24	10.57
100890	1414.61	7.2
100892	7911.11	16.5
100894	571803.68	80.2
100901	73977.69	49.67
100912	2114.83	9.96
100914	13220.85	34.44
100925	398.21	-0.89
100935	265	1.44
100939	7801.66	14.83
100942	4830.99	13.1
100943	11206.38	19.2
100945	8840.88	13.37
100949	4848.62	21.95
100951	20055.75	42.07
100952	549.8	2.14
100955	51333.79	73.15
100963	7960.69	20.08
100966	12578.4	27.91
100969	26533.31	48.93
100972	625.77	0.91
100983	189.73	0.6
100984	2988.71	14.05
100989	1117.89	9.52
100993	8504.22	24.8
100996	209.85	0.45
100997	1865.1	7.02
101011	233.79	-0.15
101012	4705.05	21.29
101018	6104.69	17.96
101019	1598.85	4.09
101020	9177.31	29.79
101026	7010.55	13.99
101027	1498.13	5.71
101034	309.79	1.34
101039	13727.75	61.81
101042	9064.04	22.26
101044	338.04	1.62
101058	157439.48	93.99
101059	328.52	0.08
101060	3351.12	9.19
101065	13725.17	42.21
101068	57355.2	50.13
101070	22581.09	77.96
101072	12704.03	37.33
101083	729.14	6.85
101089	288.36	2.07
101108	5626.94	22.77
101109	674.41	0.42
101113	668755.15	83.5
101114	1776.65	6.87
101116	6940.58	16.83
101120	31314.8	48
101122	1204.63	4.6
101123	7864	36.15
101125	65412.99	13.15
101126	20453.49	65.39
101140	8037.09	30.82
101144	461.61	4.12
101145	245160.39	100.94
101150	3283.54	14.88
101157	265.87	-3.1
101173	2615.1	14.52
101185	4101.26	14.45
101191	6488.15	25.72
101192	17415.23	59.44
101193	7014.69	22.64
101194	10140.81	31.11
101196	32259.18	24.19
101200	1979.05	5.51
101210	171.94	-0.54
101213	29511.24	65.59
101216	266.54	1.82
101220	48001.15	59.09
101231	576.12	1.91
101239	46852.12	85.79
101242	2760.74	4.39
101251	1076.77	-0.27
101252	1570.91	3.89
101255	124708.22	59.68
101260	6503.65	18.1
101262	273.49	2.12
101263	288.56	0.74
101266	23671.69	81.3
101269	985.12	7.4
