Probe_ID	Gene_ID	Signal_P/2a-3_OKhymenets_220905	SDEV_P/2a-3_OKhymenets_220905	CV_P/2a-3_OKhymenets_220905	S_N_P/2a-3_OKhymenets_220905	Flags_P/2a-3_OKhymenets_220905	Assay_Normalized_Signal_P/2a-3_OKhymenets_220905	Row_P/2a-3_OKhymenets_220905	Column_P/2a-3_OKhymenets_220905	X_P/2a-3_OKhymenets_220905	Y_P/2a-3_OKhymenets_220905	CL_Sig_P/2a-3_OKhymenets_220905	CL_Sig_Error_P/2a-3_OKhymenets_220905	CL_Raw_P/2a-3_OKhymenets_220905	CL_Raw_SDEV_P/2a-3_OKhymenets_220905	Image_Area_P/2a-3_OKhymenets_220905
100002	hCG1643199.4	111787.96	1255.1	0.03	89.07	0	76.86	189	77	1010.52	1121.73	133621.7	332.75	147015.42	0	2
100003	hCG2041918	138.5	138.5	0.8	-1.26	1	0.09	45	39	599.88	866.29	-535.78	234.91	9558.02	0	1
100027	hCG31426.2	202.72	101.15	0.5	2	0	0.13	109	152	1805.11	1542.02	-51.34	196.48	8297.8	0	1
100036	hCG1979099.1	1331.05	361.6	0.27	3.68	0	0.83	70	7	261.65	1132.8	1608.6	225.73	11216.28	0	1
100037	hCG42687.4	37304.25	1097.11	0.04	34	0	25.65	173	129	1560.9	950.03	30454.7	220.83	41251.08	0	2
100039	hCG2015782	8804.24	297.19	0.05	29.62	0	5.51	114	54	763.87	1599.62	7840.28	248.38	18231.37	0	1
100044	hCG36953.3	385.58	385.58	0.79	-1.27	1	0.24	68	51	730.13	1110.94	-906.95	258.15	10239.62	0	1
100045	hCG1776836.3	435.87	435.87	1.19	-0.84	1	0.3	153	123	1497.83	737.15	-533.11	186	10092.33	0	2
100051	hCG1642464.3	231.58	231.58	2.03	-0.49	1	0.15	75	157	1856.22	1180.73	-305.51	176.8	7148.92	0	1
100052	hCG22993.3	330.4	330.4	1.3	0.77	1	0.23	146	139	1666.98	662.17	49.08	158.6	8953.82	0	2
