Reporter Identifier	VALUE	S_N_P/4a-1_OKhymenets_220905
100002	92016.69	102.06
100003	167.73	-2.27
100027	222.37	0.46
100036	1023.53	2.84
100037	24280.72	18.92
100039	6843.61	16.88
100044	1489.73	4.24
100045	439.92	1.83
100051	144.61	0.62
100052	93.93	-0.73
100057	2170.66	3.35
100058	58236.52	71.75
100060	4558.12	11.49
100062	2069.49	2.81
100064	260.59	1
100079	13117.06	54.41
100089	3382.4	13.77
100093	694.45	4.22
100095	629.89	-0.18
100100	24277.51	61.14
100102	550.42	1.88
100103	116.61	-0.97
100105	162.21	0.5
100111	164.15	-0.12
100117	379.6	0.15
100120	37250.69	75.57
100130	34661.07	87.31
100137	329761.19	97.98
100145	1776.43	6.11
100146	7956.18	45.79
100151	474.23	-1.56
100159	513.3	2.71
100160	193.45	-0.32
100172	2460.58	7.07
100181	3931.8	11.19
100182	456.52	-0.05
100184	8281.96	27.89
100195	15727.56	34.82
100214	940.41	7.87
100215	3465.03	12.58
100216	345.27	1.24
100244	532.44	2.49
100249	84387.3	65.76
100259	2267.58	9.02
100260	345.42	1.65
100269	1122.37	3.56
100277	313.33	-0.95
100278	1140.39	4.73
100288	213.09	-1.01
100289	185.17	-1.42
100295	373.34	2.31
100297	796.48	3.35
100302	701.38	4.76
100309	497	1.94
100312	422.27	-0.12
100313	16816.78	44.68
100328	2053.88	4.28
100336	239.31	0.78
100340	30225.7	39.24
100344	13296.06	44.15
100348	342764.4	73.38
100352	683.21	6.16
100356	12127.91	20.48
100357	1836.94	7.27
100365	568.77	1.5
100369	257.91	-0.92
100384	28071.94	70.74
100385	21488.55	51.49
100388	494	0.11
100390	245226.85	83.05
100398	1170.28	6.75
100403	10767.31	53.16
100404	405.6	1.72
100405	3212.16	10.23
100410	5349.13	23.82
100415	1398.41	6.08
100419	294.97	0.09
100423	47641.8	15.82
100426	171.19	0.89
100430	13239.98	28.3
100431	2142.81	8.84
100436	457.51	-1.44
100442	141863.97	71.52
100451	805.45	2.81
100454	11658.71	33.88
100455	844.31	1.97
100458	525.28	3.36
100460	37567.85	86.14
100472	1262.47	5.23
100473	169.86	-0.22
100479	236.36	0.8
100485	3825.54	11.58
100492	250.63	0.45
100494	2623.86	3.97
100503	29447.63	89.61
100510	13206.04	29.05
100511	522.72	2.58
100513	1671.83	8.82
100524	9502.85	32.94
100525	220.73	-0.32
100529	352.28	-0.08
100537	22081.49	67.03
100543	19187.01	48.51
100547	563.25	2.59
100552	60799.82	72.26
100557	116.61	-1.83
100558	168.3	-0.2
100566	256.84	0.81
100569	480.09	2.61
100570	3126.8	10.61
100572	235.17	0.97
100575	67.1	0.59
100583	331.61	0.41
100589	7169.87	32.54
100591	10338.38	30.24
100594	831.38	-0.25
100596	4425.12	9.6
100608	474.42	-0.59
100611	283.54	0.21
100627	273191.29	90.24
100628	596.42	2.5
100629	65597.69	94.68
100635	3391.29	4.6
100636	56247.11	56.53
100639	5341.09	21.54
100641	51130.73	47.58
100642	361.3	0.67
100645	253.71	-1.01
100646	441.19	1.28
100658	263.02	0.93
100659	1077.16	6.31
100664	74696.48	114.87
100671	3180.97	6.53
100679	1087.81	3.28
100680	854.74	3.77
100681	624.3	0.19
100687	1441.02	9.75
100689	4819.66	16.15
100691	5699.17	19.07
100694	2912.69	26.1
100702	270385.66	98.54
100709	5906.04	36.86
100710	51624.9	69.66
100717	699.07	0.19
100719	954.79	10.69
100722	2240.16	20.79
100727	327.5	-0.46
100736	401.74	2.46
100747	355.32	0.95
100748	1778.87	2.07
100757	11197.34	30.52
100762	337.67	1.68
100765	6229.1	33.87
100771	1889953.64	75.89
100777	10723.9	35.03
100781	216.03	-1.15
100787	1353.48	1.37
100788	791.59	3.15
100794	171.83	-1.53
100801	443.91	1.53
100812	1314.48	6.47
100814	648.34	4.06
100819	1028.37	5.07
100825	2517.22	22.54
100826	514364.25	113.54
100830	423.17	1.66
100837	303.16	1.41
100840	69416.29	78.32
100845	52980.5	59.76
